Site Name,North Shore,North Shore,North Shore,Ipswich Rain Gauge
Isco Quantity,Level,Velocity,Flow Rate,Rainfall
Label,Level,Velocity,Flow Rate,Rainfall
Units,in,ft/s,gpm,in
Resolution,0.1,0.1,0.1,0.1
Significant Digits,0,0,0,0
,,,,
4/1/2019 0:00,9.64,1.422,753.001,0
4/1/2019 0:15,9.359,1.423,724.605,0
4/1/2019 0:30,9.405,1.414,724.687,0
4/1/2019 0:45,9.049,1.306,635.285,0
4/1/2019 1:00,9.078,1.262,616.761,0
4/1/2019 1:15,9.038,1.307,634.909,0
4/1/2019 1:30,8.782,1.308,611.104,0
4/1/2019 1:45,8.957,1.347,646.295,0
4/1/2019 2:00,9.038,1.323,642.66,0
4/1/2019 2:15,9.006,1.27,614.111,0
4/1/2019 2:30,8.683,1.185,545.143,0
4/1/2019 2:45,8.861,1.258,594.741,0
4/1/2019 3:00,8.835,1.297,610.832,0
4/1/2019 3:15,8.682,1.265,581.864,0
4/1/2019 3:30,8.782,1.248,583.259,0
4/1/2019 3:45,8.837,1.296,610.844,0
4/1/2019 4:00,8.823,1.241,583.566,0
4/1/2019 4:15,8.875,1.307,619.192,0
4/1/2019 4:30,8.758,1.248,580.834,0
4/1/2019 4:45,8.953,1.227,588.525,0
4/1/2019 5:00,9.073,1.359,663.603,0
4/1/2019 5:15,8.973,1.31,630.315,0
4/1/2019 5:30,9.155,1.27,627.876,0
4/1/2019 5:45,9.001,1.311,633.337,0
4/1/2019 6:00,9.045,1.354,658.422,0
4/1/2019 6:15,9.427,1.451,746.001,0
4/1/2019 6:30,9.381,1.392,710.867,0
4/1/2019 6:45,9.809,1.486,805.513,0
4/1/2019 7:00,10.457,1.553,915.903,0
4/1/2019 7:15,10.388,1.556,909.953,0
4/1/2019 7:30,10.585,1.473,882.934,0
4/1/2019 7:45,10.685,1.563,948.716,0
4/1/2019 8:00,10.901,1.625,1012.5,0
4/1/2019 8:15,10.975,1.658,1042.29,0
4/1/2019 8:30,11.014,1.595,1007.13,0
4/1/2019 8:45,10.845,1.479,914.881,0
4/1/2019 9:00,10.664,1.489,901.26,0
4/1/2019 9:15,10.8,1.567,964.261,0
4/1/2019 9:30,10.589,1.491,894.174,0
4/1/2019 9:45,10.51,1.504,892.914,0
4/1/2019 10:00,10.438,1.541,906.739,0
4/1/2019 10:15,10.526,1.574,936.54,0
4/1/2019 10:30,10.552,1.604,957.533,0
4/1/2019 10:45,10.53,1.565,931.884,0
4/1/2019 11:00,10.379,1.524,890.103,0
4/1/2019 11:15,10.59,1.443,865.693,0
4/1/2019 11:30,10.553,1.331,794.609,0
4/1/2019 11:45,10.406,1.545,905.602,0
4/1/2019 12:00,10.304,1.524,881.723,0
4/1/2019 12:15,10.628,1.416,853.539,0
4/1/2019 12:30,10.732,1.473,898.886,0
4/1/2019 12:45,10.476,1.523,900.609,0
4/1/2019 13:00,10.47,1.551,916.582,0
4/1/2019 13:15,10.5,1.58,937.414,0
4/1/2019 13:30,10.65,1.585,957.473,0
4/1/2019 13:45,10.467,1.528,902.626,0
4/1/2019 14:00,10.299,1.548,894.877,0
4/1/2019 14:15,10.466,1.637,966.795,0
4/1/2019 14:30,10.331,1.515,879.341,0
4/1/2019 14:45,10.31,1.444,836.235,0
4/1/2019 15:00,10.314,1.362,789.287,0
4/1/2019 15:15,10.163,1.45,823.627,0
4/1/2019 15:30,10.107,1.455,820.685,0
4/1/2019 15:45,9.987,1.501,833.247,0
4/1/2019 16:00,10.19,1.601,912.984,0
4/1/2019 16:15,10.084,1.417,797.062,0
4/1/2019 16:30,9.951,1.522,840.875,0
4/1/2019 16:45,9.94,1.395,769.39,0
4/1/2019 17:00,10.062,1.422,797.043,0
4/1/2019 17:15,10.083,1.46,821.139,0
4/1/2019 17:30,10.2,1.485,847.819,0
4/1/2019 17:45,9.903,1.437,788.723,0
4/1/2019 18:00,10.255,1.406,808.342,0
4/1/2019 18:15,10.131,1.504,850.948,0
4/1/2019 18:30,10.301,1.513,875.116,0
4/1/2019 18:45,10.156,1.484,842.383,0
4/1/2019 19:00,10.287,1.556,898.313,0
4/1/2019 19:15,10.28,1.462,843.012,0
4/1/2019 19:30,10.159,1.333,757.093,0
4/1/2019 19:45,10.233,1.489,853.823,0
4/1/2019 20:00,10.372,1.453,848.17,0
4/1/2019 20:15,10.54,1.509,899.532,0
4/1/2019 20:30,10.597,1.412,847.831,0
4/1/2019 20:45,10.329,1.6,928.673,0
4/1/2019 21:00,10.306,1.422,822.995,0
4/1/2019 21:15,10.255,1.502,863.494,0
4/1/2019 21:30,10.207,1.433,818.901,0
4/1/2019 21:45,10.227,1.503,861.295,0
4/1/2019 22:00,10.096,1.468,826.819,0
4/1/2019 22:15,10.049,1.451,811.889,0
4/1/2019 22:30,10.064,1.404,787.663,0
4/1/2019 22:45,9.717,1.405,752.229,0
4/1/2019 23:00,9.784,1.195,645.63,0
4/1/2019 23:15,9.662,1.411,749.362,0
4/1/2019 23:30,9.325,1.276,646.374,0
4/1/2019 23:45,9.285,1.307,658.188,0
4/2/2019 0:00,9.269,1.274,640.058,0
4/2/2019 0:15,9.049,1.215,590.947,0
4/2/2019 0:30,9.045,1.262,613.412,0
4/2/2019 0:45,8.796,1.213,568.131,0
4/2/2019 1:00,8.88,1.212,574.904,0
4/2/2019 1:15,8.973,1.261,606.35,0
4/2/2019 1:30,8.678,1.149,528.274,0
4/2/2019 1:45,8.827,1.23,578.455,0
4/2/2019 2:00,8.723,1.141,528.136,0
4/2/2019 2:15,8.56,1.16,523.442,0
4/2/2019 2:30,8.809,1.173,550.487,0
4/2/2019 2:45,8.616,1.114,507.073,0
4/2/2019 3:00,8.542,1.225,551.246,0
4/2/2019 3:15,8.664,1.211,555.363,0
4/2/2019 3:30,8.502,1.169,522.602,0
4/2/2019 3:45,8.693,1.137,523.742,0
4/2/2019 4:00,8.964,1.203,578.123,0
4/2/2019 4:15,8.769,1.226,571.479,0
4/2/2019 4:30,8.506,1.155,516.901,0
4/2/2019 4:45,8.756,1.161,540.323,0
4/2/2019 5:00,8.625,1.155,526.44,0
4/2/2019 5:15,8.518,1.167,522.913,0
4/2/2019 5:30,8.816,1.238,581.614,0
4/2/2019 5:45,8.971,1.22,586.501,0
4/2/2019 6:00,8.947,1.206,578.107,0
4/2/2019 6:15,9.221,1.278,637.626,0
4/2/2019 6:30,9.506,1.325,688.733,0
4/2/2019 6:45,9.605,1.305,688.007,0
4/2/2019 7:00,9.951,1.297,716.582,0
4/2/2019 7:15,10.26,1.531,880.732,0
4/2/2019 7:30,10.356,1.452,845.481,0
4/2/2019 7:45,10.718,1.532,933.675,0
4/2/2019 8:00,10.581,1.493,894.797,0
4/2/2019 8:15,10.552,1.604,957.617,0
4/2/2019 8:30,10.719,1.502,915.383,0
4/2/2019 8:45,10.946,1.558,975.656,0
4/2/2019 9:00,10.606,1.506,905.104,0
4/2/2019 9:15,10.41,1.478,866.656,0
4/2/2019 9:30,10.243,1.415,812.484,0
4/2/2019 9:45,10.222,1.476,844.815,0
4/2/2019 10:00,10.326,1.447,839.36,0
4/2/2019 10:15,10.516,1.568,931.835,0
4/2/2019 10:30,10.439,1.477,869.387,0
4/2/2019 10:45,10.35,1.443,839.85,0
4/2/2019 11:00,10.366,1.46,851.454,0
4/2/2019 11:15,10.334,1.445,839.455,0
4/2/2019 11:30,10.389,1.444,848.662,0
4/2/2019 11:45,10.525,1.489,885.731,0
4/2/2019 12:00,10.411,1.549,908.798,0
4/2/2019 12:15,10.397,1.511,884.588,0
4/2/2019 12:30,10.107,1.491,840.752,0
4/2/2019 12:45,10.016,1.481,825.215,0
4/2/2019 13:00,9.91,1.463,803.855,0
4/2/2019 13:15,10.061,1.48,829.679,0
4/2/2019 13:30,10.206,1.52,868.68,0
4/2/2019 13:45,10.124,1.478,835.317,0
4/2/2019 14:00,9.924,1.445,795.536,0
4/2/2019 14:15,10.068,1.456,817.095,0
4/2/2019 14:30,10.116,1.505,849.933,0
4/2/2019 14:45,10.109,1.487,838.75,0
4/2/2019 15:00,9.979,1.446,801.671,0
4/2/2019 15:15,9.867,1.432,782.604,0
4/2/2019 15:30,9.863,1.427,779.336,0
4/2/2019 15:45,9.956,1.437,794.144,0
4/2/2019 16:00,9.955,1.401,774.658,0
4/2/2019 16:15,9.75,1.38,741.914,0
4/2/2019 16:30,9.923,1.485,817.254,0
4/2/2019 16:45,9.876,1.422,777.568,0
4/2/2019 17:00,10.025,1.455,811.721,0
4/2/2019 17:15,10.002,1.435,798.166,0
4/2/2019 17:30,9.855,1.448,789.852,0
4/2/2019 17:45,10.094,1.483,835.279,0
4/2/2019 18:00,10.165,1.47,835.165,0
4/2/2019 18:15,10.147,1.5,850.198,0
4/2/2019 18:30,10.128,1.485,839.893,0
4/2/2019 18:45,10.232,1.571,900.792,0
4/2/2019 19:00,10.074,1.489,836.336,0
4/2/2019 19:15,10.294,1.505,869.51,0
4/2/2019 19:30,10.391,1.384,809.862,0
4/2/2019 19:45,10.252,1.44,827.525,0
4/2/2019 20:00,10.38,1.412,824.899,0
4/2/2019 20:15,10.53,1.462,870.29,0
4/2/2019 20:30,10.552,1.541,919.876,0
4/2/2019 20:45,10.192,1.467,836.872,0
4/2/2019 21:00,10.194,1.501,856.22,0
4/2/2019 21:15,10.187,1.503,856.518,0
4/2/2019 21:30,10.222,1.514,866.826,0
4/2/2019 21:45,9.984,1.417,786.42,0
4/2/2019 22:00,9.939,1.451,800.526,0
4/2/2019 22:15,9.972,1.449,802.52,0
4/2/2019 22:30,9.742,1.419,762.13,0
4/2/2019 22:45,9.865,1.388,757.979,0
4/2/2019 23:00,9.764,1.374,740.342,0
4/2/2019 23:15,9.541,1.358,709.453,0
4/2/2019 23:30,9.498,1.373,712.645,0
4/2/2019 23:45,9.278,1.324,666.034,0
4/3/2019 0:00,9.473,1.361,704.064,0
4/3/2019 0:15,9.12,1.272,625.581,0
4/3/2019 0:30,9.167,1.251,619.493,0
4/3/2019 0:45,9.1,1.212,594.045,0
4/3/2019 1:00,8.738,1.148,532.916,0
4/3/2019 1:15,8.759,1.166,542.732,0.01
4/3/2019 1:30,8.868,1.184,560.475,0.02
4/3/2019 1:45,8.604,1.13,513.364,0.01
4/3/2019 2:00,8.512,1.124,503.262,0.01
4/3/2019 2:15,8.795,1.225,573.493,0
4/3/2019 2:30,8.655,1.092,500.274,0
4/3/2019 2:45,8.605,1.168,531.024,0.01
4/3/2019 3:00,8.786,1.203,562.356,0
4/3/2019 3:15,8.825,1.232,579.217,0.01
4/3/2019 3:30,8.663,1.227,562.766,0.02
4/3/2019 3:45,8.617,1.195,544.293,0.01
4/3/2019 4:00,8.846,1.221,576.018,0.01
4/3/2019 4:15,8.664,1.131,518.616,0.02
4/3/2019 4:30,8.693,1.178,542.973,0.02
4/3/2019 4:45,9.016,1.251,605.481,0.03
4/3/2019 5:00,9.157,1.289,637.382,0.02
4/3/2019 5:15,9.297,1.256,633.594,0.02
4/3/2019 5:30,9.471,1.415,731.887,0.01
4/3/2019 5:45,9.497,1.398,725.727,0.01
4/3/2019 6:00,9.678,1.437,765.115,0.02
4/3/2019 6:15,9.941,1.43,789.267,0.01
4/3/2019 6:30,9.982,1.367,758.133,0.02
4/3/2019 6:45,10.115,1.421,802.309,0.01
4/3/2019 7:00,10.259,1.453,836.138,0.01
4/3/2019 7:15,10.696,1.508,916.518,0.01
4/3/2019 7:30,10.832,1.546,955.291,0
4/3/2019 7:45,10.978,1.539,967.331,0
4/3/2019 8:00,11.081,1.508,959.65,0.01
4/3/2019 8:15,10.927,1.574,983.407,0
4/3/2019 8:30,10.974,1.473,925.359,0
4/3/2019 8:45,10.824,1.493,921.547,0
4/3/2019 9:00,10.75,1.646,1007,0
4/3/2019 9:15,10.643,1.538,928.372,0
4/3/2019 9:30,10.83,1.505,929.419,0
4/3/2019 9:45,10.885,1.42,883.015,0
4/3/2019 10:00,10.79,1.493,917.64,0
4/3/2019 10:15,10.594,1.562,937.093,0
4/3/2019 10:30,10.989,1.544,972.117,0
4/3/2019 10:45,11.028,1.531,967.933,0
4/3/2019 11:00,10.854,1.544,956.143,0
4/3/2019 11:15,10.7,1.402,852.659,0
4/3/2019 11:30,10.452,1.532,902.955,0
4/3/2019 11:45,10.535,1.435,854.708,0
4/3/2019 12:00,10.673,1.531,927.596,0
4/3/2019 12:15,11.026,1.526,965.047,0
4/3/2019 12:30,10.953,1.572,985.133,0
4/3/2019 12:45,10.549,1.48,883.124,0
4/3/2019 13:00,10.37,1.517,884.926,0
4/3/2019 13:15,10.201,1.456,830.99,0
4/3/2019 13:30,10.241,1.362,781.602,0
4/3/2019 13:45,10.222,1.439,823.851,0
4/3/2019 14:00,10.404,1.49,873.238,0
4/3/2019 14:15,10.371,1.522,887.934,0
4/3/2019 14:30,10.406,1.501,879.491,0
4/3/2019 14:45,10.497,1.531,907.9,0
4/3/2019 15:00,10.537,1.581,942.103,0
4/3/2019 15:15,10.172,1.436,816.638,0
4/3/2019 15:30,10.058,1.386,776.458,0
4/3/2019 15:45,9.935,1.417,781.06,0
4/3/2019 16:00,10.039,1.476,824.856,0
4/3/2019 16:15,10.154,1.465,831.533,0
4/3/2019 16:30,10.078,1.517,852.4,0
4/3/2019 16:45,10.155,1.511,857.784,0
4/3/2019 17:00,10.115,1.45,818.779,0
4/3/2019 17:15,10.123,1.429,807.638,0
4/3/2019 17:30,10.197,1.441,822.049,0
4/3/2019 17:45,10.192,1.475,841.084,0
4/3/2019 18:00,10.26,1.553,893.28,0
4/3/2019 18:15,10.248,1.525,876.157,0
4/3/2019 18:30,10.208,1.5,857.236,0
4/3/2019 18:45,10.431,1.428,839.721,0
4/3/2019 19:00,10.286,1.488,859.129,0
4/3/2019 19:15,10.426,1.485,872.538,0
4/3/2019 19:30,10.598,1.474,885.176,0
4/3/2019 19:45,10.676,1.529,927.103,0
4/3/2019 20:00,10.847,1.504,930.88,0
4/3/2019 20:15,10.724,1.405,856.879,0
4/3/2019 20:30,10.561,1.52,908.711,0
4/3/2019 20:45,10.339,1.537,893.254,0
4/3/2019 21:00,10.385,1.511,883.616,0
4/3/2019 21:15,10.47,1.368,808.406,0
4/3/2019 21:30,10.356,1.522,886.283,0
4/3/2019 21:45,10.223,1.367,782.947,0
4/3/2019 22:00,10.157,1.542,875.673,0
4/3/2019 22:15,10.112,1.435,809.799,0
4/3/2019 22:30,9.97,1.5,831.083,0
4/3/2019 22:45,9.882,1.462,800.544,0
4/3/2019 23:00,9.701,1.295,691.54,0
4/3/2019 23:15,9.782,1.479,798.71,0
4/3/2019 23:30,9.689,1.29,687.942,0
4/3/2019 23:45,9.519,1.332,693.485,0
4/4/2019 0:00,9.455,1.273,656.778,0
4/4/2019 0:15,9.191,1.32,655.542,0
4/4/2019 0:30,9.187,1.277,633.872,0
4/4/2019 0:45,9.099,1.27,622.249,0
4/4/2019 1:00,9.168,1.272,629.99,0
4/4/2019 1:15,8.926,1.262,602.872,0
4/4/2019 1:30,8.895,1.311,623.43,0
4/4/2019 1:45,9.004,1.248,603.191,0
4/4/2019 2:00,8.783,1.186,554.338,0
4/4/2019 2:15,9.007,1.276,617.175,0
4/4/2019 2:30,8.952,1.241,595.178,0
4/4/2019 2:45,8.814,1.217,571.281,0
4/4/2019 3:00,8.587,1.099,497.941,0
4/4/2019 3:15,8.728,1.164,539.497,0
4/4/2019 3:30,8.702,1.197,552.459,0
4/4/2019 3:45,8.527,1.146,514.223,0
4/4/2019 4:00,8.678,1.23,565.599,0
4/4/2019 4:15,8.662,1.249,572.893,0
4/4/2019 4:30,8.868,1.16,549.342,0
4/4/2019 4:45,8.958,1.24,594.921,0
4/4/2019 5:00,8.69,1.159,533.621,0
4/4/2019 5:15,8.814,1.255,589.069,0
4/4/2019 5:30,8.811,1.202,564.013,0
