Site Name,Lakeside mh041,Lakeside mh041,Lakeside mh041,Lakeside mh041
Isco Quantity,Level,Velocity,Flow Rate,Input Voltage
Label,Level,Velocity,Flow Rate,Input Voltage
Units,Meters,MetersPerSecond,CubicMetersPerSecond,Volts
Resolution,0.1,0.1,0.1,0.1
Significant Digits,0,0,0,0
,,,,
6/11/2004 13:30,0.235,0.673,0.09,11.96
6/11/2004 14:00,0.233,0.63,0.083,11.975
6/11/2004 14:30,0.232,0.597,0.078,11.931
6/11/2004 15:00,0.231,0.602,0.078,11.917
6/11/2004 15:30,0.226,0.604,0.076,11.917
6/11/2004 16:00,0.226,0.64,0.081,11.931
6/11/2004 16:30,0.226,0.615,0.077,11.874
6/11/2004 17:00,0.225,0.606,0.076,11.874
6/11/2004 17:30,0.222,0.603,0.074,11.86
6/11/2004 18:00,0.221,0.621,0.076,11.86
6/11/2004 18:30,0.226,0.612,0.077,11.86
6/11/2004 19:00,0.226,0.599,0.076,11.845
6/11/2004 19:30,0.225,0.629,0.079,11.845
6/11/2004 20:00,0.229,0.649,0.083,11.845
6/11/2004 20:30,0.231,0.608,0.079,11.831
6/11/2004 21:00,0.248,0.71,0.103,11.831
6/11/2004 21:30,0.289,0.765,0.137,11.773
6/11/2004 22:00,0.324,0.766,0.16,11.802
6/11/2004 22:30,0.311,0.746,0.147,11.802
6/11/2004 23:00,0.297,0.786,0.145,11.802
6/11/2004 23:30,0.287,0.773,0.137,11.788
6/12/2004 0:00,0.279,0.764,0.129,11.788
6/12/2004 0:30,0.266,0.704,0.112,11.773
6/12/2004 1:00,0.259,0.76,0.116,11.773
6/12/2004 1:30,0.249,0.686,0.1,11.759
6/12/2004 2:00,0.243,0.716,0.1,11.773
6/12/2004 2:30,0.236,0.648,0.087,11.745
6/12/2004 3:00,0.235,0.687,0.092,11.745
6/12/2004 3:30,0.229,0.668,0.086,11.73
6/12/2004 4:00,0.225,0.62,0.078,11.73
6/12/2004 4:30,0.224,0.622,0.078,11.716
6/12/2004 5:00,0.222,0.631,0.078,11.73
6/12/2004 5:30,0.222,0.625,0.077,11.701
6/12/2004 6:00,0.22,0.624,0.076,11.701
6/12/2004 6:30,0.221,0.622,0.076,11.701
